Q,A
"A 48-year-old woman with a history of type 2 diabetes and hyperlipidemia is brought to the emergency department after acute onset of right-sided weakness and difficulty speaking that began 2 hours prior to arrival. On examination, she has impaired speech production with preserved comprehension, right facial droop, and right upper and lower extremity weakness with the arm more affected than the leg. Her NIHSS is 12. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the more effective form of thrombolytic treatment, intravenous tenecteplase or alteplase?","Intravenous tenecteplase and alteplase are both recommended to improve functional outcomes in adult patients with acute ischemic stroke presenting within 4.5 hours, as tenecteplase has been shown to be noninferior to alteplase in functional outcomes and offers the practical advantage of single bolus administration."
"A 64 year-old man with a history of hypertension presents to the emergency department 90 minutes after sudden onset aphasia. On examination, he has word-finding difficulty and impaired sentence formation, but follows commands appropriately. He is unable to name common objects or communicate his needs clearly. Mild right facial droop is noted. His NIHSS score is 4, driven primarily by language impairment. Noncontrast head CT shows no evidence of intracranial hemorrhage. What is the most appropriate next step in management?","Given the patient's presentation with severe aphasia, which is defined as a clearly disabling deficit (≥2 on the NIHSS ""best language"" question) despite an overall NIHSS score of 4, and the absence of intracranial hemorrhage on CT within 90 minutes of symptom onset, intravenous thrombolysis is recommended."
"A 70 year old male is brought to the ED with a history of atrial fibrillation and not on oral anticoagulation and is found to have left-sided arm weakness upon awakening. His last known well was approximately 10 hours earlier before going to sleep. On exam, he has left-sided hemispatial neglect and an NIHSS score is 4. Noncontrast head CT shows no evidence of intracranial hemorrhage. MRI of the brain shows restricted diffusion in the right middle cerebral artery on diffusion-weighted imaging. However, there is no corresponding signal change on FLAIR. What is the most appropriate next step?","Given the patient's wake-up stroke with an unknown onset time of approximately 10 hours, the absence of intracranial hemorrhage on NCCT, and the presence of DWI-FLAIR mismatch on MRI, intravenous thrombolysis is the most appropriate next step to determine eligibility for extended window treatment."
"A 59-year-old woman with a history of hypertension presents to the emergency department 2 hours after sudden onset of numbness involving her right face and hand. She denies significant weakness, speech difficulty, visual changes, or gait disturbance. On examination, she has right facial droop, right arm strength 4+/5, right leg strength 4+/5, and decreased pinprick sensation over the right face and hand. Her NIHSS score is 4. Noncontrast head CT shows no intracranial hemorrhage. Should this patient be treated with IV thrombolysis or dual antiplatelet therapy?","This patient should be treated with intravenous thrombolysis (IVT) because she presents with disabling deficits from acute ischemic stroke within 4.5 hours of symptom onset and has no contraindications, while dual antiplatelet therapy is recommended for patients who did not receive IVT."
"A 68-year-old man with a history of hypertension and atrial fibrillation develops sudden-onset right-sided weakness and aphasia at home. Emergency medical services arrive within 20 minutes of symptom onset. On exam, he has a NIHSS of 14. A local primary stroke center is 10 minutes away while a comprehensive thrombectomy-capable stroke center is available but 55 minutes away by ground transport. How should prehospital transport be directed in this patient?","Prehospital transport should be directed to the local primary stroke center 10 minutes away, as studies like RACECAT and TRIAGE-STROKE did not demonstrate improved functional outcomes or reduced mortality with direct transport to a more distant thrombectomy-capable center for suspected large vessel occlusion."
"A 72-year-old woman presents to the emergency department 4 hours after sudden onset of severe dysarthria, dysphagia, bilateral limb weakness, and left-sided visual field loss. On arrival, she is intermittently unresponsive and unable to protect her airway. Neurologic examination reveals quadriparesis, absent gag reflex, and inability to follow commands. Her NIHSS score is 28. Noncontrast head CT shows no intracranial hemorrhage. CT angiography demonstrates occlusion of the proximal basilar artery. CT perfusion shows a limited posterior circulation infarct core with surrounding hypoperfused but potentially salvageable tissue involving the brainstem and cerebellum. What is the most appropriate next step in management?","Given the patient's acute ischemic stroke from basilar artery occlusion, NIHSS score of 28, presentation within 4 hours, and imaging showing a limited infarct core with salvageable tissue, endovascular thrombectomy is recommended to improve functional outcomes and reduce mortality."
"A 68 year old man with a history of hypertension presents to the ED 3 hours after sudden onset of ride-sided weakness and slurred speech. On examination, he has a right facial droop and right arm weakness. His NIHSS score is 9. Noncontrast head CT shows no intracranial hemorrhage and CT angiography reveals no large vessel occlusion. He is treated with IV thrombolysis. Shortly after treatment initiation, the stroke team debates whether adding an adjuvant antithrombotic agent might improve neurologic outcomes. What is the most appropriate management decision?","Adjunctive antithrombotic agents like eptifibatide or argatroban are not recommended after intravenous thrombolysis for acute ischemic stroke, as studies like the MOST trial showed no reduction in post-stroke disability and were associated with increased mortality."
"A 68-year-old man with a history of type 2 diabetes mellitus and hypertension is admitted for acute ischemic stroke after presenting with right-sided weakness and dysarthria. He arrives 3 hours after symptom onset and receives appropriate reperfusion therapy. During hospitalization in the stroke unit, point-of-care glucose measurements range from 180 to 220 mg/d and his systolic blood pressure ranges from 155 to 165 mm Hg. Based on current stroke guidelines, how should this patient's blood glucose and blood pressure be managed?","The patient's blood glucose should not be intensively reduced to 80-130 mg/dL, as this is not recommended for improving functional outcomes and carries a risk of severe hypoglycemia, and his systolic blood pressure should not be intensively reduced to <140 mm Hg, as this is not recommended after intravenous thrombolysis and is harmful after endovascular therapy."
"A 12 year old previously healthy boy is brought to the ED after a sudden onset of right-sided weakness and difficulty speaking that began 90 minutes before arrival at school. On examination the patient is alert but has expressive aphasia. His NIHSS is 11. Non contrast head CT shows no intracranial hemorrhage. CT angiography shows an occlusion of the left middle cerebral artery, m1 segment. How should this patient’s stroke be managed according to current guidelines?","For this 12-year-old patient with acute ischemic stroke presenting within 4.5 hours with disabling deficits, intravenous thrombolysis with alteplase may be considered, as it is deemed safe for pediatric patients aged 28 days to 18 years, although its efficacy in this population is uncertain."
A 62-year-old man with a history of hypertension develops sudden onset of left-sided weakness and slurred speech while at home. A mobile stroke unit (MSU) and conventional emergency services are both available and can be deployed immediately. What emergency service is preferred?,"A mobile stroke unit (MSU) is the preferred emergency service because MSUs improve functional outcomes, reduce onset-to-treatment times, and increase the proportion of patients receiving intravenous thrombolysis within 60 minutes compared to conventional emergency medical services."
